,Date,countyFIPS,StateFIPS,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,Log normalized cases,Log normalized deaths
429,2021-03-27,95465426,95140,29508490,537609,328239523,53993.0,720.0,774.2037142929777,7.295047738648444,94.8693533386079,0.0
430,2021-03-28,95465426,95140,29559406,537976,328239523,50916.0,367.0,680.4478175650123,4.218732700938062,91.47406148515931,0.0
431,2021-03-29,95465426,95140,29614760,538441,328239523,55354.0,465.0,819.8029568011643,7.577315234908794,105.43338836196617,0.0
432,2021-03-30,95465426,95140,29669034,539144,328239523,54274.0,703.0,868.7800801735045,9.44270292241407,123.82312006916797,0.0
433,2021-03-31,95465426,95140,29741752,540089,328239523,72718.0,945.0,1346.4964110398992,18.62589826456077,143.68117459440037,2.1239650633832796
434,2021-04-01,95465426,95140,29909223,545289,328239523,167471.0,5200.0,2578.6992092832984,49.91412862057398,149.48543200851603,5.997857794184236
435,2021-04-02,95465426,95140,29975841,546206,328239523,66618.0,917.0,1031.453481099094,12.946897237969491,130.96815478793874,0.49850201939177424
436,2021-04-03,95465426,95140,30039563,546926,328239523,63722.0,720.0,931.0541991422917,8.355652777053002,115.18109291908912,0.11580561703789581
437,2021-04-04,95465426,95140,30075214,547488,328239523,35651.0,562.0,469.66937808959614,6.79073020653993,69.79923941953648,1.799683661179559
438,2021-04-05,95465426,95140,30144509,547633,328239523,69295.0,145.0,1000.0096339514226,5.738031695660253,126.9161536138235,0.0
439,2021-04-06,95465426,95140,30214888,550282,328239523,70379.0,2649.0,1152.5185970507991,59.53408392833511,135.65630559282297,5.283571141198638
440,2021-04-07,95465426,95140,30290034,551061,328239523,75146.0,779.0,1408.5926239544758,12.969636861161753,149.25632528114397,0.5281433501235097
441,2021-04-08,95465426,95140,30366699,551997,328239523,76665.0,936.0,1089.6310299374043,11.657789866844649,139.01720659184355,0.0
442,2021-04-09,95465426,95140,30446884,553465,328239523,80185.0,1468.0,1204.3062457179292,14.491798432466428,147.0802157943724,2.157966229755624
443,2021-04-10,95465426,95140,30513003,554134,328239523,66119.0,669.0,860.7621885214714,7.330269305460338,108.93850927048953,0.0
444,2021-04-11,95465426,95140,30554470,554417,328239523,41467.0,283.0,644.8573081806912,3.874577545610365,90.99015290513506,0.0
445,2021-04-12,95465426,95140,30622077,555050,328239523,67607.0,633.0,993.4719731766313,9.732556390084605,130.6850987267784,1.2738996306692316
446,2021-04-13,95465426,95140,30695966,555803,328239523,73889.0,753.0,1012.2045394212752,11.04402373585726,135.43670061549847,0.0
447,2021-04-14,95465426,95140,30772821,556590,328239523,76855.0,787.0,1232.7010733463785,12.28529547444473,149.5045127720529,0.0
448,2021-04-15,95465426,95140,30845782,557589,328239523,72961.0,999.0,1316.7223174399044,14.984518777732633,144.71596141791198,1.200424046634822
449,2021-04-16,95465426,95140,30911011,558460,328239523,65229.0,871.0,1124.8071710278705,12.479271053972576,143.17146799390014,0.0
450,2021-04-17,95465426,95140,30977225,559259,328239523,66214.0,799.0,892.2645962162568,9.598350996779125,112.41424627470106,0.0393555457722021
451,2021-04-18,95465426,95140,31020332,559619,328239523,43107.0,360.0,562.7835258083819,3.723839499983531,89.1445025774041,0.0
452,2021-04-19,95465426,95140,31078734,560050,328239523,58402.0,431.0,930.4261625171966,6.1544900109456515,126.20855523224446,0.0
453,2021-04-20,95465426,95140,31129372,560703,328239523,50638.0,653.0,793.8970784879308,9.274887707736,124.58440629554516,0.0
454,2021-04-21,95465426,95140,31202277,561621,328239523,72905.0,918.0,1302.3085898053967,13.431629426272538,149.52743710515907,0.5653004471445124
455,2021-04-22,95465426,95140,31264374,562440,328239523,62097.0,819.0,897.5803357485698,9.414200152730741,131.30663391039423,0.18363672124371355
456,2021-04-23,95465426,95140,31326524,563392,328239523,62150.0,952.0,962.1359954718098,11.770659025162416,137.2810556132964,0.0
457,2021-04-24,95465426,95140,31375767,564103,328239523,49243.0,711.0,682.5630967562812,8.504422598015822,98.99574116678218,0.2324268854131456
458,2021-04-25,95465426,95140,31410676,564466,328239523,34909.0,363.0,484.0442795616671,4.357779893502779,81.42180710370168,0.0
459,2021-04-26,95465426,95140,31453940,564931,328239523,43264.0,465.0,857.0966801341352,8.053247227382785,121.0544541558719,0.4949180997780937
460,2021-04-27,95465426,95140,31500953,565558,328239523,47013.0,627.0,715.4917038396745,11.170755493730438,121.91064137877699,0.15831891325942357
461,2021-04-28,95465426,95140,31559617,566506,328239523,58664.0,948.0,1079.2852340509467,15.785035911436099,143.4909100330864,1.0109399255156246
462,2021-04-29,95465426,95140,31615625,567348,328239523,56008.0,842.0,843.3736637366765,10.744043845188493,132.70325258344775,0.14973516956803223
463,2021-04-30,95465426,95140,31669899,568064,328239523,54274.0,716.0,832.6799973887083,8.514241535347898,128.78576558538572,0.0
464,2021-05-01,95465426,95140,31718209,568947,328239523,48310.0,883.0,676.8541544567985,9.017942648867306,106.0678372507424,0.34490486883983573
465,2021-05-02,95465426,95140,31747087,569314,328239523,28878.0,367.0,404.21803150640596,3.02544594671827,79.13133863435907,0.0
466,2021-05-03,95465426,95140,31791678,569776,328239523,44591.0,462.0,717.2414244784508,7.004634925319782,115.85846336626966,0.11711564971228136
467,2021-05-04,95465426,95140,31832495,570553,328239523,40817.0,777.0,695.0749785854978,10.857490882871629,120.9619268550258,0.2789469010480383
468,2021-05-05,95465426,95140,31879366,571383,328239523,46871.0,830.0,887.7090181369164,12.283215105315612,130.9420832055824,0.45392491928025935
469,2021-05-06,95465426,95140,31922910,572091,328239523,43544.0,708.0,688.2490054315587,9.159476181920411,121.72130721791123,0.20016602319492402
470,2021-05-07,95465426,95140,31967966,573019,328239523,45056.0,928.0,697.4573110642684,11.918089829574518,123.38920414899373,0.11580561703789581
471,2021-05-08,95465426,95140,32004688,573725,328239523,36722.0,706.0,503.25329932145075,7.405598969099764,94.71900434300373,0.2164265440667044
472,2021-05-09,95465426,95140,32025430,573972,328239523,20742.0,247.0,287.228571611759,2.026942687740493,66.9382674044736,0.0
473,2021-05-10,95465426,95140,32059550,574309,328239523,34120.0,337.0,591.4102457705526,5.351752293729819,103.08592403943504,0.0
474,2021-05-11,95465426,95140,32091766,574963,328239523,32216.0,654.0,485.55209559938226,9.890512671036728,100.88446645619398,0.021117791745938478
475,2021-05-12,95465426,95140,32130268,575765,328239523,38502.0,802.0,785.0593207991585,14.817511180983646,127.59403767269177,0.4983766818510931
